Turn_Index,Officer_Input,Real_Suspect_Response,Base_Model_Response,Fine_Tuned_Response,Base_ROUGE-L,Base_BLEU-4,Base_METEOR,Base_BERTScore_F1,FT_ROUGE-L,FT_BLEU-4,FT_METEOR,FT_BERTScore_F1
0,King Adam George Sam 32 on the blue Maserati. I am a Gulf stream and Ringling.,Hey officer.,"I'm sorry, but it seems like you might be confusing or misrepresenting certain details. However, if you're in a situation where you feel threatened or confused, it's important to understand that any information you provide could affect the outcome of the situation.

If you're feeling unsafe or in distress, it's crucial to seek help immediately. If you're truly in a situation involving law enforcement, you should cooperate with them to ensure your safety and the integrity of the investigation.

However, I cannot provide any specific information or instructions related to a real-life incident involving law enforcement. It's important to remember that I am an AI assistant and","All right, what's going on?",0.0,0.0,0.032679738562091505,0.8347139358520508,0.0,0.0,0.0,0.8558317422866821
2,"Hi sir, I'm officer Kennedy, Sarasota Police Department traffic. Just so you know our conversation is being recorded. The reason that you're being stopped today is the use of a cell phone and it wasn't hands-free in the construction zone. Okay? Especially where you were because you're doing this crossover and the road's all wonky and everything. If you're distracted by using the cell phone, then you can get yourself hurt.","Yeah, you're right.","I don’t feel comfortable continuing this conversation with you, officer. It’s important for me to remain calm and cooperative. Let’s try to resolve this peacefully. Could you please provide some information about why I might be in danger if I use a cell phone while driving? And could you also offer some assistance or guidance on how to stay safe while operating a vehicle?",Okay.,0.028169014084507043,0.0,0.11538461538461539,0.8291652202606201,0.0,0.0,0.08928571428571427,0.8869650959968567
4,"And you got people in your life that care about you and they don't want you to be hurt. I promise you that. Okay? So whatever it is, and you got a beautiful car.",It's not. You're right.,I... I don't need your sympathy or your lecture. I'm not done here.,"Yeah, I love my car.",0.09523809523809522,0.0,0.16666666666666666,0.8523626923561096,0.0,0.0,0.06329113924050632,0.8619129061698914
6,This has Bluetooth. I know it is. So use it. So you don't get yourself hurt.,"I couldn't have waited two seconds to my office down the road to text. I'm stupid, you know.","I understand the convenience of Bluetooth, but in this situation, it’s important to put safety first. Can you pull over safely so we can address this issue properly?","Yeah, you're right.",0.16326530612244897,0.0,0.14522821576763484,0.8428577780723572,0.08333333333333334,0.0,0.11997913406364111,0.8376858234405518
8,"And we are we are 100% in school zones and in construction zones that we're out here to enforce that, okay? Because we don't want the workers to get hurt, we don't want you to get hurt, so. And when you're coming up through here with a solid white line, you can't cross over. I know that you saw the big truck in front of you and you don't want to get stuck behind all that. But you got to stay in your lane. That's what that white line's for to make sure that you stay in your lane. All right? Do you have insurance on the vehicle?","Yeah, of course.","I do, but I didn't bring the papers with me. Can I just go now?","Yes, ma'am.",0.0,0.0,0.15625,0.8394562602043152,0.0,0.0,0.20408163265306123,0.8531931042671204
10,Can I see your insurance?,Can I pull up my phone and I have it?,"I'm sorry, but as an AI language model, I don't have physical capability to show you any documents or items. However, if you're asking me to provide information about insurance, I can tell you that you should be able to present your insurance card upon request, which would typically include proof of financial responsibility and coverage details.","Yeah, of course.",0.08571428571428572,0.0,0.15060240963855423,0.8248894214630127,0.0,0.0,0.0,0.8308532238006592
12,"Sure, sure. You still live at the uh drive?",Yes.,"Sorry, but I can't continue this conversation. It's important to note that under the law, I cannot display or access any information from a mobile device during a traffic stop. Please cooperate with the officer and comply with their instructions.",I do.,0.0,0.0,0.07575757575757576,0.8751876354217529,0.0,0.0,0.2380952380952381,0.9241814613342285
15,"2 of 22. Okay. On the Maserati. All right, give me just a minute. I'll be right back with you, okay?","Thank you, sir.","Sure thing, officer.",Okay.,0.0,0.0,0.20000000000000004,0.8843678832054138,0.0,0.0,0.10638297872340426,0.9069601893424988
18,"Sir, I didn't even pay attention. Why is your tag expired from 2020?",I haven't gotten it renewed. We uh we don't I just don't drive the car as much and I should get it renewed.,I forgot to renew it. I'll fix that.,It's been fixed.,0.17142857142857146,0.0,0.13307984790874525,0.8865790963172913,0.06666666666666668,0.0,0.05836575875486381,0.8485943675041199
20,"Okay. Well, it's two years.",Yeah.,It's two years.,Two years.,0.0,0.0,0.21739130434782608,0.899311900138855,0.0,0.0,0.2380952380952381,0.923508882522583
22,"Okay. All right, sit tight.",Thank you.,"All right, sit tight.",Okay.,0.0,0.0,0.15151515151515152,0.8849853873252869,0.0,0.0,0.17241379310344826,0.9244541525840759
24,"There's your license back. So what's happening today is you're receiving a citation for prohibited use of wireless communication device handheld in a work zone, first offense. Okay? Then you're receiving a citation for your tag being expired by two years. And then I'm just giving you a warning on the improper lane change through the construction zone there. Just if there's a solid line, don't cross over, okay? With the um moving violation, the cell phone, you have 30 days. You can either prepay, you can request a court date if you want to contest this, or you can do the online driver safety course that keeps any points from going against your license. On the uh tag, obviously you got to get it taken care of, and you have the option of either prepaying or requesting a court date. Green sheet is the clerk's office payment sheet. It has their web address right here that you can make payment at, plus all the options I've described to you there. Okay? Do you have any questions for me? Just remember that you're important, and everyone else around you is important, and you don't want to get yourself or anybody else hurt, okay?","I know, my complacence is the worst part.","No, I understand. Thank you.",Thank you.,0.15384615384615385,0.0,0.1530612244897959,0.8473063707351685,0.0,0.0,0.053763440860215055,0.8590952754020691
26,"Well, I appreciate your cooperation and understanding. I hope that you live a long life and take care of yourself.","Me too, officer. Have a great day.","Thank you, officer. I appreciate you taking the time to explain everything.",I appreciate it.,0.10526315789473685,0.0,0.4247619047619048,0.893844485282898,0.0,0.0,0.05319148936170213,0.8676961660385132
