Turn_Index,Officer_Input,Real_Suspect_Response,Base_Model_Response,Fine_Tuned_Response,Base_ROUGE-L,Base_BLEU-4,Base_METEOR,Base_BERTScore_F1,FT_ROUGE-L,FT_BLEU-4,FT_METEOR,FT_BERTScore_F1
4,"Jody, how much you had to drink?","Uh, not really. Uh, no, that's not true. Uh, one ginger ale and Jameson.","I don't drink, so I don't have anything to explain!",I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't,0.0,0.0,0.04716981132075472,0.8408340811729431,0.0,0.0,0.06134969325153375,0.8093772530555725
6,One ginger ale and Jameson. Yeah.,Yeah. That was at the pink bar and.,One ginger ale and Jameson. Yeah.,Yeah.,0.14285714285714288,0.0,0.20408163265306123,0.8717904090881348,0.2222222222222222,0.0,0.10869565217391304,0.9249526262283325
8,"On a scale of one to 10, where do you think you're at right now compared?","Man, I 16-hour shift this morning. Today.",I don't need to rate myself on anything. I'm not going to give you an arbitrary number like that. I'm just here to do my thing.,I think I'm at like five or six.,0.05405405405405405,0.0,0.12295081967213113,0.8409229516983032,0.11764705882352941,0.0,0.10000000000000002,0.8515505790710449
10,"No. It's got just where you at on impairment, you know. I'm trying to I'm trying to give you an idea.","I mean, I can't tell. One ginger ale and Jameson. So that's about all it. About three.",I can't really assess my own impairment. I'm just trying to be cooperative.,I'm trying to give you an idea.,0.17647058823529413,0.0,0.18299952312827852,0.8592734336853027,0.07407407407407407,0.0,0.044444444444444446,0.855716347694397
12,"I mean, did you get calling me while I go?",No. We just pulled over to check on the vehicle and I mean you're,"I didn't get called, man. I was there.","Yeah, I got called.",0.08333333333333334,0.0,0.06410256410256411,0.8481545448303223,0.10526315789473685,0.0,0.06666666666666667,0.8649141788482666
15,"And you said, Jody, I'm like, yeah.",So fucking bad.,"And you said, Jody, I'm like, yeah.","I'm like, yeah.",0.0,0.0,0.10416666666666667,0.8385340571403503,0.0,0.0,0.11904761904761905,0.8522790670394897
23,"Jody, you know you put us all in a real bad spot right here, right?","I mean, pulling over and again. I mean, I know I know I know. But we've all been trained that way. You say no. I'm not going to put that in and you hire a lawyer.","Jody, you know you put us all in a real bad spot right here, right?","Oh, somebody said, you know, we've all been trained that way. You don't need FFP. We all know that. If you you say no, simple. Would you provide a breath sample? We've all been trained to say no. So we've all been trained. All of us here. Oh, we got. Like, you know that.",0.18867924528301885,0.0,0.10638297872340426,0.839963972568512,0.2708333333333333,0.13470288145928122,0.318713987473904,0.872165858745575
25,"Jody, here's the deal. You're standing on the side of the highway peeing. You're urinating. All right. You the the odor of alcohol that's coming off of you, man, is extreme. The car reeks of alcohol.","I mean, yeah, we just had three people in that car that I just dropped off. Well, two of them I dropped off and one of that Circle K with two Monroe PD behind me.","Jody, here's the deal. You're standing on the side of the highway peeing. You're urinating. All right. You the the odor of alcohol that's coming off of you, man, is extreme. The car reeks of alcohol.","I mean, you can call Thomas and pull that car right here. I really don't care. But I'm fucking wasted. I'm fucking wasted.",0.10666666666666666,0.0,0.12224938875305623,0.8334763646125793,0.19672131147540986,0.0,0.16624040920716113,0.8398536443710327
27,"It's been around for a minute. Yes, sir.","You put me in a bad place. Yes, sir.","It's been around for a minute. Yes, sir.","It's been around for a minute. Yes, sir.",0.3333333333333333,0.33529572102686106,0.49074074074074076,0.9104671478271484,0.3333333333333333,0.33529572102686106,0.49074074074074076,0.9104671478271484
30,Ma'am.,Is there any way I can help?,Ma'am.,Ma'am.,0.0,0.0,0.0,0.7943098545074463,0.0,0.0,0.0,0.7943098545074463
32,Call a ride.,"Call a ride. Yes, ma'am. You have my phone.",Call a ride.,Is there any way I can help?,0.4615384615384615,0.10539922456186433,0.30991735537190085,0.9201874732971191,0.0,0.0,0.0,0.8349480032920837
34,Call dispatch for what she wants to do.,Dispatch. 10:15 for 35.,Call dispatch for what she wants to do.,Call a ride.,0.3076923076923077,0.0,0.2380952380952381,0.8591543436050415,0.0,0.0,0.08620689655172413,0.8651542067527771
36,You don't have anything.,"Oh, no. All my stuff is inside the car.",I don't have anything.,You don't have anything.,0.0,0.0,0.043859649122807015,0.8859853148460388,0.0,0.0,0.043859649122807015,0.8808393478393555
39,I'm not going to let you drive.,"I literally just dropped off her friend that had been drinking literally all day. Like, you can call Monroe PD. They were at Circle K in Monroe. Arresting people and I was standing there talking to them. All of them were drunk and I was like, look, we're driving. I had one ginger ale with Jameson. And we got there at 9:00 to drive the not drive. We started at 11. And we left 25, 30 minutes ago. And I literally did not want to stop at Circle K. We dropped them off there. And I'm like, I got to pee. I got to pee. And I knew uh, not right here, not this one. I don't want this one to be the next one. Oh, that was terrible. Uh, right here, the River Service. Yeah, terrible River Service. Not yeah, I guess that's what it is. I was like, I can make there. And we got around. We got over the bridge. We got here. I got to pee. And she was asleep. I pulled over right here and I got out and I said, I'm going to piss. And I peed right here. Like, that's that's it. And I talked to them the whole time until her brother showed up and she got in the truck with him. Her friend got in the truck with her and we come home.",I'm not going to let you drive.,I'm not going to let you drive.,0.04032258064516128,0.0,0.01564945226917058,0.8153725266456604,0.04032258064516128,0.0,0.01564945226917058,0.8153725266456604
42,"You're going to you're going to give you an opportunity to submit a breath sample. You won't do it. Yeah. That's why you're good. No, you have to. Come on. If you're none of this. If you're under the limit, we're going to bring you right back to your vehicle.","I mean, that's not true.",,And.,0.0,0.0,0.0,0.0,0.0,0.0,0.06756756756756756,0.8825092315673828
44,"No. You legally can't. That's where you legally can't. That's where you legally can't drop someone off to their vehicle that's had at least one alcohol beverage. You can't do it. We're going to bring you back to your vehicle to drive. But you can't drop them off right here. He's calling a ride. Right? But you had more than drinking. But she's calling a ride is what I'm saying. If someone comes to pick her up and you submit a breath sample that's below the legal limit and you're not over the legal limit, we're not going to arrest you for DWI. We'll bring you back here to ride with whoever you contact. Yeah.",You can't do that. You legally you could still let somebody come get the car.,,I'm sorry.,0.0,0.0,0.0,0.0,0.0,0.0,0.03012048192771084,0.8624359965324402
46,"Oh. Yeah. She's trying to make a phone call now, yeah. Yeah.","Legally. What if? I'm not I'm not going to allow you to drive. That's what I'm saying. If if you submit a breath sample and I'm not going to I know I know. No, no, no. I'm going to still under the legal limit of alcohol. I'm not I'm not going to book you under a DWI if you submit a breath sample less than 21. Yeah. I know. I would I would not book you. I still would be gray here. Like I said, I mean, it's it's up to you 100%. I I understand. That's really gray area. Let's let's fall back here real quick to his unit before any cars come. I don't want to get run over. Me and Matt almost got hit just a second ago.",,And,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0033046926635822865,0.7679798603057861
48,Good?,The Tahoe or the car?,,"Andassistant
I mean, I know I know I know. But we've all been trained that way. You say no. I'm not going to put that in and you hire a lawyer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000335693359375
50,"No, the car in the back.","Oh, shit. Okay.",,I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm I'm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355175018310547
54,He's got some really bright lights on this unit.,It's a little one.,I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,,0.0,0.0,0.027472527472527476,0.7459496259689331,0.0,0.0,0.0,0.0
56,Yeah.,"You can't even tell, man.",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,It talks a lot.,"We're going to be down here a minute. Yes, sir. All right, let me get these off of you.",,I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7214989066123962
