Turn_Index,Officer_Input,Real_Suspect_Response,Base_Model_Response,Fine_Tuned_Response,Base_ROUGE-L,Base_BLEU-4,Base_METEOR,Base_BERTScore_F1,FT_ROUGE-L,FT_BLEU-4,FT_METEOR,FT_BERTScore_F1
2,Did he point the gun at you or did he just?,"Yeah, cuz I was in the back seat, we were in a coupe. He pulled the gun out, cocked it back, turned around and was like, you ain't going nowhere. I ain't got all my money. Shouldn't be broken. He can't be out here just trying to get over on people that's not guns on people.","I'm sorry, but it seems like we're in a hypothetical scenario that doesn't accurately reflect the real situation. In a real police interaction, if someone is non-compliant and refuses to follow orders, it could lead to a dangerous and potentially violent situation. 

However, in the context of the fictional scenario you've created, if Sean Kingston had a gun on him and was acting aggressively, I would have taken appropriate action to ensure my safety and the safety of others present. If he pointed the gun at me, I would have reacted accordingly to protect myself and others. 

In any real-life situation, it's crucial to always prioritize","He just pointed it at me. He said, don't move. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm going to shoot you. I'm",0.16091954022988506,0.0,0.2800624629737206,0.8194407224655151,0.07058823529411765,0.0,0.11734028683181227,0.823971152305603
5,So who's on that pull the fire?,"Sean Kingston, like he had the firearm.","I'm sorry, but it seems like you might be misunderstanding the situation. The previous scenario was a fictional account of an interaction that went wrong due to the presence of a firearm. In real-life situations involving firearms, such actions can lead to serious legal consequences and harm.

If you or anyone is facing a similar situation, it's crucial to seek help immediately. Police interactions should always be conducted without weapons if possible, and always with the utmost caution and compliance with the law. If you need any advice or support on how to handle a difficult interaction, I'd be more than happy to discuss that in a safe and controlled environment.",Sean Kingston.,0.04918032786885246,0.0,0.12135922330097088,0.8264287114143372,0.4444444444444445,0.0,0.3042328042328042,0.9240686297416687
7,Sean Kingston was driving the car?,"He was driving the car. I went to his house. I dealt with him yesterday. He was going to give me 75,000 in cash. They was like, we don't have the whole 75. We had to to the bank. His mom got the rest of the money.","I'm sorry, it seems there might be a misunderstanding. It appears you're trying to clarify a situation that involves illegal activities, which I can't assist with. If you or anyone else is in danger, please contact the authorities immediately. However, if you need help understanding a legal scenario or discussing legal advice, I recommend consulting with a professional lawyer.",Sean Kingston was driving the car?,0.1081081081081081,0.0,0.1043478260869565,0.8361821174621582,0.14545454545454545,0.0004324776658775406,0.039138943248532294,0.8561699390411377
9,Why were you only going to get 75?,"Because he has a a sky dweller watch that he wanted to trade in. When I got there yesterday, they told me, oh, I only have 24. Came down, going back and forth cuz he kept saying like, oh, I got a video shoot tomorrow. I need my jewelry. So you take the 50,000 back. We'll go pick up the 24. He threw the box by his feet and he said, you ain't getting out and he just kept getting right. I said, you ain't got to like you getting all you trying to strong arm me right now. He just pulled out his gun, he cocked it back and he said, you're not leaving this fucking car. Y'all owe me money. You over here pulling on a gun on a female. You're not looking tough at all. Like you need to relax.","It seems there might be some confusion in the scenario as it's not typical for a situation involving a firearm and financial transactions to unfold this way. However, if we're focusing on the part about the money, it sounds like there was an agreement or misunderstanding regarding the payment.

If you're still in a situation where you feel threatened or violated, it's important to seek help immediately. Police should be called, and you should try to stay safe until they arrive. If you need immediate assistance, please contact emergency services.","Because he said he's got the rest of the money. He said, I'm going to send you the rest of the money.",0.11475409836065575,0.0,0.13672896628726558,0.8073132634162903,0.13793103448275865,0.0,0.07457862289705629,0.8466542363166809
15,"All right, so what's going on, man? How are you, buddy?","Good. This is my store, Primo Jewelers.",I'm not dealing with you right now. I want to leave.,"Oh, I'm good.",0.0,0.0,0.14423076923076922,0.8610135912895203,0.18181818181818182,0.0,0.15625,0.8762931227684021
17,Okay.,"All the cops they buy from me, diamond watches and all the Cuban. So what happened is, uh, this rapper, Sean Kingston.",Okay.,"Good. This is my store, Primo Jewelers.",0.0,0.0,0.01968503937007874,0.8603008985519409,0.06896551724137931,0.0,0.09541984732824428,0.8496546745300293
19,Okay. You know him?,Yeah.,"Yeah, I know him. He was supposed to give me 75 grand in cash, but he chickened out. Ended up just giving me 24 grand.","Yeah, I do.",0.07692307692307693,0.0,0.20833333333333337,0.8892282247543335,0.5,0.0,0.43478260869565216,0.9057095050811768
22,Where was this at?,Just happened like an hour ago. I think that's her.,"This happened at his house. He was supposed to meet her at his house in Philadelphia. They were supposed to exchange the cash for the jewelry, but he wouldn't let her leave the car until she gave him the money.",At my shop.,0.07692307692307693,0.0,0.154320987654321,0.8632557392120361,0.0,0.0,0.04132231404958678,0.858559787273407
25,"Oh, black pants.",She's walking towards me because they slammed the door on her on her finger and she was bleeding. They didn't let her get out of the car.,,Okay.,0.0,0.0,0.0,0.0,0.0,0.0,0.01779359430604982,0.8710811734199524
27,Why didn't she call the police then?,"Right. She was scared. They were like telling her you're not going to do this, you're not like she couldn't take. Her boss called me up and he's my customer. I said, yo, you girl, you know this shit happened.",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"And then he left with the car, like everybody.","So he left. So there's pictures. Ah, fuck, I forgot my phone in the in the in the office.","What he did is he took some jewelry from a customer of mine out of Philadelphia. They the deal did not happen. The girl, the sales lady that worked for this guy from Philadelphia, had the jewelry on her position and they were to get in the car. She's walking right now toward me. They didn't let her go out from the car until she give back the cash. And then she's telling me that they pull a gun on her.",Okay I got you.,0.09615384615384615,0.0,0.1892744479495268,0.8393089771270752,0.08333333333333334,0.0,0.04347826086956521,0.8580157160758972
32,Where so where exactly did it happen on the street right here?,"Right here, yeah. An hour an hour ago.",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,So he came by.,Get the store key. I don't have it.,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,He came by to buy jewelry?,"No, my customer called me up and say, I want to sell some jewelry to Sean Kingston. I say, yo, be careful, this guy's a crook. He owes me money. I'm suing him. Then the deal did not go through. So he sent his girl to sell him the jewelry.",,Okay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8058822751045227
38,So the guy in Philadelphia sent someone here to sell?,"Exactly. So that sales lady, she's coming. Where is she? So they he's he's a scumbag. He that's what he do. He screw people. Go get open the store, get my phone. Hello. Oh, you have my phone.",I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,,0.0,0.0,0.0,0.7455741763114929,0.0,0.0,0.0,0.0
40,So where is she now?,"She's walking. The deal did not go through. I said, Sean, her boss. I said, be careful. So he said, the deal did not go through. She's coming with him to the front, to my store. Yeah. To the front. And she's going to give the cash back 23,000. And she's going to take the jewelry back from him. So they came here to the front. She came to the front. We give the cash back, the deposit that he gave last night. I don't know what the story exactly because they were dealing with it. So now she's going to say exactly what happened. And he said, yo, you're not I'm not going to give you the merchandise back until you give me my money.",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,So did he actually take anything?,"No. He didn't he gave the jewelry back. She gave the money, but she's saying that first of all, when she went out from the car, they closed the door on her finger.",,Okay Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7173634171485901
45,Okay.,And then she told me that they put a gun on her. You cannot go out until you give me the money.,I I I I,,0.0,0.0,0.0,0.7918869853019714,0.0,0.0,0.0,0.0
47,Yeah. So they tried I'm I'm still so confused. They tried to rob her or do they just try to,You don't know. I think I don't know.,,Okay.,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454545,0.8692375421524048
49,"Okay, well, I can't do I can't do anything if she's not here.","Exactly. The poor girl, she left when she was scared because she's from Philadelphia.",,Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay Okay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690841019153595
51,Is that her?,"That's crazy, man. One of the dealers is my friend from Bentley. The car even is not his. He never paid for the car. Stupid thief.",Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got,,0.0,0.0,0.0,0.7107347249984741,0.0,0.0,0.0,0.0
55,How are you?,Good. I'm sorry. I'm good. How are you?,,"Okay, so what's going on, man?",0.0,0.0,0.0,0.0,0.0,0.0,0.036764705882352935,0.876690685749054
57,"Good, good. Nice to meet you.",So what happened?,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"Okay. I mean, you need fire rescue or anything like that?","No, I'm I'm good. I I think my finger should be good. I just think it's bruised. I don't think it's I don't shouldn't be broken. I don't think.",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Okay. But you got all the jewelry back and everything.,"I got all my jewelry back. It was just the fact that he turned around, he pulled the gun on me. He was like, you're not going nowhere. I ain't got all my money. Yes, I am. You got on you, you need to count slower. Kept going back and forth and then I guess he was just like, Okay. I mean, the only thing we would be able to do a report for is that he pulled a gun on. Did he threaten you when he pulled a gun or anything?",Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got Got,,0.02702702702702703,0.0,0.02254283137962128,0.7319129109382629,0.0,0.0,0.0,0.0
64,Or did he?,"He said, you're not going nowhere. I ain't got all my money.",What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What What,,0.0,0.0,0.0,0.6920613646507263,0.0,0.0,0.0,0.0
