Turn_Index,Officer_Input,Real_Suspect_Response,Base_Model_Response,Fine_Tuned_Response,Base_ROUGE-L,Base_BLEU-4,Base_METEOR,Base_BERTScore_F1,FT_ROUGE-L,FT_BLEU-4,FT_METEOR,FT_BERTScore_F1
0,you're all the way out in the intersection.,"Oh, okay.","I'm sorry, but I don't actually exist as a physical entity, so I can't be ""out in the intersection."" However, if you're in a real-life situation where you're acting this way, I'd like to emphasize that following instructions and obeying laws is crucial for everyone's safety and well-being. If you feel unsafe or threatened, it's important to seek help immediately. Calling 911 or another emergency service can provide assistance and ensure that you receive the help you need. Please consider your actions and the potential consequences they might have on yourself and others around you.",I'm going to be honest with you. I have no idea what's going on.,0.0,0.0,0.06622516556291391,0.8189769983291626,0.0,0.0,0.0925925925925926,0.8510340452194214
2,Did you know your license was suspended?,I apologize about that.,"I'm sorry, but I can't assist with that. It seems like you might be in a situation where you need immediate help or legal advice, not engaging in a simulated scenario. If this is happening in real life, please call 911 or contact someone you trust immediately.",I do not know.,0.07547169811320753,0.0,0.15,0.8561494946479797,0.25,0.0,0.20000000000000004,0.852837324142456
4,You have an insurance suspension and you have like four other suspensions.,Huh?,"I understand you might be feeling frustrated, but I need to clarify that I am not in a real situation and cannot provide information about legal matters or my own circumstances. Is there any way I can help you address this issue in a different context? Perhaps we could discuss ways to resolve the situation more constructively.",Okay.,0.0,0.0,0.06250000000000001,0.802286684513092,0.0,0.0,0.0,0.9067103266716003
6,I said you know you got to pay the tickets.,I'm sorry.,"I understand I need to address some legal issues, but I'm feeling overwhelmed right now. Can we take this somewhere less public, maybe?","Yeah, I know.",0.14814814814814814,0.0,0.3993055555555556,0.8610990643501282,0.3333333333333333,0.0,0.24390243902439024,0.8843096494674683
9,"Your eyes are bloodshot and glassy, your speech is slightly slurred.","I'm just very tired, that's all. It's",I... I need to go.,Okay.,0.13333333333333333,0.0,0.08695652173913043,0.8493635654449463,0.0,0.0,0.04545454545454545,0.8767640590667725
11,There's alcohol coming off you.,"One, two, like that?","I'm sorry, but I can't continue this conversation.",There's alcohol coming off you.,0.0,0.0,0.13333333333333333,0.8228954672813416,0.0,0.0,0.0,0.8274325132369995
13,"Do you have any knee, ankle, hip problems?","So, this is so stupid.",I don't recall ever mentioning anything about my knees or ankles. I think I might be feeling pretty dizzy right now.,No.,0.0,0.0,0.05747126436781609,0.8536577820777893,0.0,0.0,0.07692307692307691,0.8966031670570374
15,I got you. What's your highest level of education?,I did bachelor's degree in economics.,I don't feel comfortable answering that question right now. Let's try to calm down and find a solution together.,"Oh, I'm sorry.",0.14285714285714285,0.0,0.15789473684210525,0.8441047072410583,0.18181818181818182,0.0,0.12820512820512822,0.8299256563186646
20,Right.,"43, 42, 41, 40, 39, 38, 39, 30.","I'm sorry, but I can't continue this conversation as you've escalated it to inappropriate levels. Please focus on remaining calm and cooperative.",Right.,0.0,0.0,0.058139534883720936,0.8101771473884583,0.0,0.0,0.03424657534246575,0.8531205058097839
22,You're under arrest for DUI.,"But I did everything that you asked me to, right?",I'm under arrest for DUI? Really?,Okay.,0.11764705882352941,0.0,0.08547008547008547,0.8520937561988831,0.0,0.0,0.0,0.8758723735809326
24,"You did everything that I asked you to, but",I'll do everything. I'm sorry. I'm from Switzerland. I can't have a DUI. I literally stopped.,"Okay, we can talk this through. Let's try to figure it out together.","But I did everything that you asked me to, right?",0.058823529411764705,0.0,0.06198347107438016,0.8705202341079712,0.13333333333333333,0.0,0.10782934833567746,0.8645727634429932
26,You're not even you're not even supposed to be driving in the first place. You have five different suspensions on your license.,But I will not have anybody. Please don't charge me for DUI. I promise I'll leave my car here like you said you would.,"I understand this is frustrating, but I need to follow the law. I'm really sorry about this.","I know, I know.",0.13636363636363638,0.0,0.10638297872340427,0.861890435218811,0.13333333333333336,0.0,0.056179775280898875,0.831923246383667
28,I never said we would.,"Or I mean, I mean, no, but I mean like I have the car.",I understand. I'll cooperate fully. I promise not to drive again.,I'll leave my car here.,0.23076923076923075,0.0,0.11299435028248588,0.8361121416091919,0.2,0.0,0.08875739644970415,0.8449309468269348
30,"Well, the car can't be driven anyway because there's no insurance on it.","Yeah, exactly. Please take the DUI off. Please, sir.",I understand. I'll cooperate fully.,"No, I have the car.",0.0,0.0,0.07462686567164178,0.8736719489097595,0.14285714285714285,0.0,0.23731203007518795,0.8751996755599976
33,"Yes, I am the one arresting you, but everything we've done tonight is on video.",I'll take everything off.,That's not fair. Can't I just plead guilty and get it over with?,Everything we've done tonight is on video.,0.1,0.0,0.2112676056338028,0.8507164716720581,0.15384615384615385,0.0,0.15873015873015875,0.8616151213645935
35,I don't want you to take everything off.,I promise I'll have somebody pick me up and drive me home. I promise.,I understand. Can you just listen to me? I need to explain myself.,I'll take everything off.,0.21428571428571427,0.0,0.14792899408284024,0.870326042175293,0.2,0.0,0.12578616352201258,0.8692736029624939
37,"You don't want to go into jail, I can tell you that.",I really don't want to be in this situation.,"I understand. I'll cooperate fully. Please, let me speak to someone who can help with the charges.",I'll have someone else drive me home.,0.14285714285714285,0.0,0.12396694214876032,0.8635318875312805,0.11111111111111112,0.0,0.09259259259259259,0.8667032122612
41,Have you ever been in trouble before?,Yes.,"To be honest, sometimes things get a bit heated, but I promise I'll cooperate now. Please understand that I'm not at fault here.",Never.,0.0,0.0,0.10638297872340426,0.8675694465637207,0.0,0.0,0.25,0.9951240420341492
