start_time,speaker_label,transcript
00:00,[Bystander],Somebody called 911?
00:01,[Bystander],Yeah.
00:02,[Bystander],Bang.
00:03,Deputy Davis,You must have flipped and they just said that to now.
00:06,[Bystander],Get on.
00:10,[Bystander],Can I get those biscuits for you?
00:12,[Bystander],"No, they're not going to see me."
00:14,[Bystander],Okay.
00:16,Deputy Davis,Okay.
00:26,[Bystander],man.
00:34,Deputy Davis,Okay.
00:35,[Bystander],Okay.
00:45,Deputy Davis,"All right, so right now we're going to an injury accident. Uh apparently it's a vehicle roll over. One of vehicle is driving, the other one tried to cut around them and uh apparently flipped. So we're going to try to get there and uh make sure we can block off the scene and assess the injuries of the people who are involved."
01:17,Deputy Davis,"How are you doing, sir?"
01:20,[Dispatcher],Nevada 928 George 95.
01:34,[Driver involved in accident],Yeah.
01:35,Deputy Davis,Yeah.
01:37,[Driver involved in accident],It's it's me. I I wanted to go around him. I didn't see him and then he was hitting the brakes. I tried to go around and then he flipped his light when I was already trying to go around.
01:46,Deputy Davis,"Okay, so you were you guys are going northbound?"
01:49,[Driver involved in accident],"Yeah, I'm going home."
01:50,Deputy Davis,"Okay, you guys you trying to go around them?"
01:52,[Driver involved in accident],Yeah.
01:52,Deputy Davis,"Okay, and you turned left?"
01:54,[Dispatcher],Nevada 036.
01:56,Deputy Davis,"Okay, got you."
01:59,Deputy Davis,Okay. Um you got your license insurance and registration?
02:02,[Driver involved in accident],"Oh, he has a."
02:07,Deputy Davis,"Hey buddy, were you wearing your seat belt?"
02:08,[Driver involved in accident],Yes.
02:09,Deputy Davis,Okay.
02:16,Deputy Davis,And where did you relatively flip over at?
02:20,Deputy Davis,"How you doing, sir? You're driving?"
02:21,[Driver involved in accident],Cool.
02:22,Deputy Davis,How you doing?
02:24,Deputy Davis,And you can see the tires right here.
02:33,[Driver involved in accident],Needed.
02:38,Deputy Davis,I think you'll need a tow or now.
02:41,Deputy Davis,"Okay. Uh once I get photos and all that stuff, then I'll let you work on that."
02:45,[Driver involved in accident],Yeah.
02:47,[Driver involved in accident],I have to see what my boss wants to do.
02:49,Deputy Davis,"Oh, okay. Company vehicle?"
02:50,[Driver involved in accident],Yeah.
02:51,[Driver involved in accident],"Yeah, just leave it alone for now and then once I'm done, I'll just."
02:53,Deputy Davis,Yeah.
03:07,[Driver involved in accident],"Yeah, like not throwing it in something different."
03:14,Deputy Davis,I've seen works here.
03:16,[Driver involved in accident],Yeah.
03:17,Deputy Davis,At least he came to a stop on his.
03:19,[Driver involved in accident],"Yeah, he didn't impact this, I take it, right?"
03:21,Deputy Davis,"Yeah, looks straight up, so."
03:23,Deputy Davis,You must have flipped and they just said that to now.
03:25,[Driver involved in accident],Okay.
03:26,Deputy Davis,Cool. Thanks guys.
03:28,[Driver involved in accident],He is going to for his hand injury and.
03:31,Deputy Davis,Yeah.
03:33,[Driver involved in accident],Okay.
03:38,Deputy Davis,"Right now, we're going to take the accident report for the accident that we have behind us and uh once I'm doing my accident report, we're going to get some uh tow for one of the vehicles and one of our drivers refused medical. So he rolled over, good thing is, they both had their seat belts on. There's no major injuries and they both get to walk out of this without any major injuries."
04:28,Brandon Ross,"Hi, my name is Brandon Ross and we're over here at Ross Speed and Repair in Pahrump, Nevada. We heard the guys at US Cops had some issues with their 6.0 Ford and we told them bring it in so we can get them all figured out and get them back on the road. We specialize in diesel performance and regular gas performance. Uh we can do everything from general maintenance to full on custom builds. If you need anything, give us a call at 702-715-9134."
05:15,Deputy Davis,24 registration check.
05:20,[Dispatcher],24.
05:21,Deputy Davis,"Nevada 061 yellow 73, white Crown Victoria."
05:31,[Dispatcher],"24 Nevada 061 yellow 73 is negative one valid. Expires 625 on a 2011 Ford Crown Victoria, possibly for a trip to Kelvin out of Pahrump."
05:45,Deputy Davis,Copy. You show me traffic for that vehicle at Lagan and Calvada.
05:51,[Dispatcher],24 copy.
