start_time,speaker_label,transcript
00:00,Deputy Wills,"Spencer, Spencer, go over there. We're going to stop the vehicle."
00:12,[Law Enforcement Officer],Sheriff's office.
00:15,[Suspect],You want the taser? Is that what you want?
00:20,[Suspect],Get out of here. Get the fuck on the ground. I told you drop the fuck.
00:26,[Suspect],"Come on, your hands up. Turn around."
00:29,[Bystander],Oh my God.
00:38,Deputy Wills,"All right, so we're going to stop this guy. He's going 67 in a 45. We're catching up right now cuz he's flying. So we're going to see why he's driving so fast."
01:03,Deputy Wills,24 traffic.
01:07,Deputy Wills,"Hello, Deputy Wills, County Sheriff's office. So the reason I stopped you 67 and a 45."
01:14,Deputy Wills,"Yeah, I got you on radar, so you got your license insurance and all that. No guns, knives, anything like that. Okay."
01:23,[Driver],Yeah.
01:25,Deputy Wills,Yeah.
01:53,Deputy Wills,And then I think this is for your other registration.
01:58,[Driver],What's that?
01:59,Deputy Wills,It says sure.
02:01,[Driver],Yeah.
02:02,Deputy Wills,Yeah.
02:11,Deputy Wills,"All right, cool. Just sit tight for me."
02:35,Deputy Wills,"All right, black, I'm not going to ruin your record. Uh writing you a ticket, slow down. You're in now you're in a 35 mph zone, so just slow down, all right? All right, see you again, speeding, you'll get a ticket. Cool. Fair enough. All right, take care."
02:55,Deputy Wills,"Doesn't have that many traffic citations, ultimately. Um his last ticket wasn't it was 2022, which was a year ago, but other than that, he doesn't have any other citations, no criminal record or anything like that. So just gave him a warning and told him to slow it down. So if we see him again, we obviously know what his vehicle looks like, pretty distinctive and then if we see him again, we'll side him side him for speeding or whatever the case may be."
03:21,[Law Enforcement Officer],"So right now we're getting dispatched to a residential alarm in the central part of the town. It's a audible burglary alarm, uh triggered at the family room motion. No contact made with the key holder. So we're going to respond to this alarm and we're going to hope that it's a false alarm. Um and just assess the situation. Make sure nobody's breaking into the residence."
04:17,[Dispatcher],"We Homestead 1000 Nero, Red Chevy Camaro, California 8 George Nora, Tom Zero or an Ocean 42."
04:29,[Law Enforcement Officer],Okay.
04:49,[Law Enforcement Officer],Front door looks secure.
05:17,[Law Enforcement Officer],Tampered with.
06:10,[Law Enforcement Officer],"Well, I believe it's going to be a false alarm."
06:20,[Law Enforcement Officer],False alarm. Cheers. Close for.
06:23,[Law Enforcement Officer],"Residence looks secure. None of the windows look like they're tampered with. Doors are locked. Just another one of those false alarms. You get it all the time, so it's a good thing though. You know, nobody's actually trying to break in."
06:40,[Law Enforcement Officer],Four.
06:42,[Law Enforcement Officer],"Nobody's actually trying to break in, which is good, so another false alarm."
06:47,[Law Enforcement Officer],I don't know last time somebody's been here. Looks like it's pretty empty.
06:54,[Law Enforcement Officer],This is a nice house right here.
06:58,Deputy Wills,"So right now we're going to do a keep the peace. Uh referencing I guess our RP wants his tools that he has at the uh his previous employer's residence or his previous employer's job. So he wants to go get his tools. So we're going to do a keep the peace so that way he can hopefully get his tools back. His uh his uh former employer was like, you didn't need to come get your tools today or don't bother. Um and he ultimately admitted that he'll give his tools back when I guess the uh uh employer gets his stuff back or whatever. But basically the employer admitted that he has his tools and he's holding hostage his tools hostage until he gets what he wants, which I'd highly recommend not doing that. So we're just going to go here with the RP, let him know, hey, he's just here to get his stuff. Let him get his stuff. And if you got any other issues, settle it civil court. So that's pretty much it. But right now the RP wants us to go with him because I guess supposedly these guys are violent and all sorts of stuff. So."
08:12,[Automated Voicemail System],"Sorry, but the person you called has a voicemail box that has not been set up yet."
08:17,Deputy Wills,"Hey, go, Spencer."
08:19,Zach,Hi.
08:20,Deputy Wills,"Nope, didn't answer. So I'll call from my work phone."
08:28,Zach,Good afternoon.
08:30,Deputy Wills,Which one of you guys is Zach?
08:32,Zach,That's me.
08:33,Deputy Wills,"All right. Hey, bud. So I'm Deputy Wills, County Sheriff's office. So he wants to get his, I guess his tools."
08:39,Zach,"Yeah, I also have some possession from that he has in his possession that I need back."
08:44,Deputy Wills,Okay.
08:46,Zach,We I I could show you text messages that if I were to get the tools back.
08:51,Deputy Wills,"Yeah, I saw him. He showed me."
08:52,Zach,Yeah.
08:53,Deputy Wills,"He showed me the. Hang on, let me talk to him. So as far as the tools and all that stuff, so um he says he doesn't have your tools. He says he doesn't."
09:02,Zach,"Well, I also I have him and I also have another eyewitness saying that he has his tools being held hostage."
09:10,Zach,I'm I'm talking to him right now.
09:13,Deputy Wills,"Let me talk to him, Spencer."
09:15,Zach,I'm talking to him right now.
09:17,Zach,So I have a witness from him and also the dude that actually has he has his tools.
09:24,Zach,I'm talking to him.
09:27,Zach,All right. So and I was just trying to help him out trying to get his tools back in order for him to have his job and everything that he needs to do.
09:39,Deputy Wills,"Okay. So you do have his tools though, right? You're just waiting to try to get your tools, so you're using this kind of like a leverage kind of thing."
09:45,Zach,100%.
09:45,Deputy Wills,Okay. Would he be able to get his tools and then from there.
09:49,Deputy Wills,"Spencer, Spencer, go over there. Like I told you about the registration, go over there."
09:55,Zach,Thank you.
09:58,Deputy Wills,"So, like I said, uh if you want, give him his tools, we can trespass him from there. Um it would be a civil with the whole portion of that part. It's either he just wants his tools cuz if not, then we have to press charge charges. He wants to press charges, which obviously the value of it."
10:06,Zach,"So, but also he owes me back pay for rent. He's also squatting and stuff like that. I told him to get out."
10:13,Deputy Wills,"Yeah, that's all civil."
10:18,Deputy Wills,"Yeah. Yeah, that's all civil. So what I would recommend doing, like I said, is go to the courts. Um one thing, you said you own this property?"
10:24,Zach,"Yes, I do."
10:25,Deputy Wills,"Um, okay. Um another thing would be is if you don't want him back on the property or whatever the case, it'll be trespassing. I would trespass him."
10:32,Zach,"Which also he still has property of mine, which is my key to my conex boxes."
10:36,Deputy Wills,"Civil. Cuz the key. So like I said, most of the majority of the stuff is civil, but because of the fact that"
10:42,Zach,Just from here document everything.
10:44,Deputy Wills,"Yeah, I can what I can do is I can give you the CAD number and stuff like that. You can take it to civil court. Um is it cool if you just either you bring his tools out or he gets it goes in there and get his tools, whatever they are."
10:52,Zach,"I don't want him on my property. I'll be more than welcome to get his tools, but I also need the tools that's all to me."
10:58,Deputy Wills,"Um I'm going to document in there that you gave him back his tools and all that other shenanigans. Once he gets everything, once he's satisfied with that and then civil court."
11:05,Zach,"Or sue, fucking getting your shit back."
